id_vict,x,y,sobr,tri
93,45,41,0.83,1
210,51,27,0.94,0
219,54,23,0.33,2
223,55,21,0.78,1
224,55,27,0.09,3
240,63,2,0.93,0
241,63,4,0.96,0
243,64,5,0.0,3
238,61,3,0.87,1
237,61,2,0.23,3
236,61,1,0.77,1
244,64,6,0.29,2
234,60,4,0.07,3
233,60,2,0.91,1
232,60,1,0.24,2
213,52,7,0.19,3
211,51,4,0.92,0
206,49,2,0.57,2
207,49,5,0.47,2
99,41,17,0.86,1
208,49,22,0.82,1
214,53,8,0.17,3
220,55,9,0.89,1
94,36,7,0.98,0
74,26,3,0.95,0
73,26,0,0.29,2
77,30,1,0.05,3
57,21,7,0.39,2
58,21,10,0.93,1
54,20,6,0.25,2
53,20,4,0.83,1
47,17,5,0.1,3
45,16,10,0.88,1
40,15,10,0.65,2
31,12,8,0.95,0
26,10,9,0.63,2
25,8,9,0.47,2
21,7,3,0.2,3
16,5,6,0.16,0
13,4,8,0.58,2
17,5,9,0.06,3
9,3,9,0.48,2
7,2,9,1.0,0
28,10,12,0.5,2
32,12,13,0.94,2
37,13,12,0.93,1
15,4,18,0.94,0
11,3,19,0.88,1
5,1,19,0.5,2
61,5,23,0.24,3
19,6,21,0.05,3
23,7,20,0.93,0
65,9,25,0.76,1
70,20,32,1.0,0
83,22,34,0.35,2
71,23,31,0.35,2
86,26,34,0.36,2
75,27,21,0.9,1
78,30,21,0.36,2
79,30,22,0.94,0
72,27,24,0.96,0
87,33,34,0.15,3
66,11,29,0.89,0
68,13,29,0.03,3
67,13,27,0.99,0
256,70,9,0.88,0
252,69,8,0.98,0
242,63,6,1.0,0
235,60,5,0.04,3
231,59,6,0.37,2
100,44,2,0.2,3
