agent,x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,read_step,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear
explorer_1,46,46,clear,1,7,,0,,0,,[],,,,"[[45, 45], [45, 46], [45, 47], [46, 45], [46, 47], [47, 45], [47, 46], [47, 47]]"
explorer_1,46,45,clear,1,5,,0,,0,,[],,,,"[[45, 44], [45, 45], [45, 46], [46, 44], [46, 46], [47, 44], [47, 45], [47, 46]]"
explorer_1,47,45,clear,1,4,,0,,0,,[],,,,"[[46, 44], [46, 45], [46, 46], [47, 44], [47, 46], [48, 44], [48, 45], [48, 46]]"
explorer_1,47,46,clear,1,1504,,0,,0,,[],,,,[]
explorer_1,47,47,clear,1,9,,0,,0,,[],,,,"[[46, 46], [46, 47], [46, 48], [47, 46], [47, 48], [48, 46], [48, 47], [48, 48]]"
explorer_1,46,47,clear,1,16,,0,,0,,[],,,,"[[45, 46], [45, 47], [45, 48], [46, 46], [46, 48], [47, 46], [47, 47], [47, 48]]"
explorer_1,45,47,clear,0,16,,0,,0,,[],,,,[]
explorer_1,45,46,clear,1,6,,0,,0,,[],,,,"[[44, 45], [44, 46], [44, 47], [45, 45], [45, 47], [46, 45], [46, 46], [46, 47]]"
explorer_1,45,45,clear,0,5,,0,,0,,[],,,,[]
explorer_1,47,44,clear,1,4,,0,,0,,[],,,,"[[46, 43], [46, 44], [46, 45], [47, 43], [47, 45], [48, 43], [48, 44], [48, 45]]"
explorer_1,48,44,clear,0,2,,0,,0,,[],,,,[]
explorer_1,48,45,clear,0,2,,0,,0,,[],,,,[]
explorer_1,48,46,clear,1,1504,,0,,0,,[],,,,[]
explorer_1,46,44,clear,1,4,,0,,0,,[],,,,"[[45, 43], [45, 44], [45, 45], [46, 43], [46, 45], [47, 43], [47, 44], [47, 45]]"
explorer_1,47,43,clear,0,3,,0,,0,,[],,,,[]
explorer_1,48,43,clear,0,2,,0,,0,,[],,,,[]
explorer_1,46,43,clear,0,3,,0,,0,,[],,,,[]
explorer_1,45,44,clear,0,4,,0,,0,,[],,,,[]
explorer_1,45,43,clear,0,3,,0,,0,,[],,,,[]
explorer_1,44,47,clear,0,16,,0,,0,,[],,,,[]
explorer_1,44,46,clear,0,5,,0,,0,,[],,,,[]
explorer_1,44,45,clear,0,5,,0,,0,,[],,,,[]
explorer_1,47,48,clear,1,11,,0,,0,,[],,,,"[[46, 47], [46, 48], [46, 49], [47, 47], [47, 49], [48, 47], [48, 48], [48, 49]]"
explorer_1,46,48,clear,1,16,,0,,0,,[],,,,"[[45, 47], [45, 48], [45, 49], [46, 47], [46, 49], [47, 47], [47, 48], [47, 49]]"
explorer_1,45,48,clear,1,17,,0,,0,,[],,,,"[[44, 47], [44, 48], [44, 49], [45, 47], [45, 49], [46, 47], [46, 48], [46, 49]]"
explorer_1,48,47,clear,0,9,,0,,0,,[],,,,[]
explorer_1,48,48,clear,0,11,,0,,0,,[],,,,[]
explorer_1,47,49,clear,1,12,,0,,0,,[],,,,"[[46, 48], [46, 49], [46, 50], [47, 48], [47, 50], [48, 48], [48, 49], [48, 50]]"
explorer_1,46,49,clear,1,16,,0,,0,,[],,,,"[[45, 48], [45, 49], [45, 50], [46, 48], [46, 50], [47, 48], [47, 49], [47, 50]]"
explorer_1,45,49,clear,1,18,,0,,0,,[],,,,"[[44, 48], [44, 49], [44, 50], [45, 48], [45, 50], [46, 48], [46, 49], [46, 50]]"
explorer_1,48,49,clear,0,11,,0,,0,,[],,,,[]
explorer_1,47,50,clear,0,12,,0,,0,,[],,,,[]
explorer_1,46,50,clear,1,15,,0,,0,,[],,,,"[[45, 49], [45, 50], [45, 51], [46, 49], [46, 51], [47, 49], [47, 50], [47, 51]]"
explorer_1,45,50,clear,1,19,,0,,0,,[],,,,"[[44, 49], [44, 50], [44, 51], [45, 49], [45, 51], [46, 49], [46, 50], [46, 51]]"
explorer_1,48,50,clear,0,11,,0,,0,,[],,,,[]
explorer_1,47,51,clear,0,12,,0,,0,,[],,,,[]
explorer_1,46,51,clear,0,14,,0,,0,,[],,,,[]
explorer_1,45,51,clear,1,19,,0,,0,,[],,,,"[[44, 50], [44, 51], [44, 52], [45, 50], [45, 52], [46, 50], [46, 51], [46, 52]]"
explorer_1,46,52,clear,0,13,,0,,0,,[],,,,[]
explorer_1,45,52,clear,0,19,,0,,0,,[],,,,[]
explorer_1,44,52,clear,0,21,,0,,0,,[],,,,[]
explorer_1,44,51,clear,1,21,,0,,0,,[],,,,"[[43, 50], [43, 51], [43, 52], [44, 50], [44, 52], [45, 50], [45, 51], [45, 52]]"
explorer_1,44,50,clear,1,21,,0,,0,,[],,,,"[[43, 49], [43, 50], [43, 51], [44, 49], [44, 51], [45, 49], [45, 50], [45, 51]]"
explorer_1,44,49,clear,1,20,,0,,0,,[],,,,"[[43, 48], [43, 49], [43, 50], [44, 48], [44, 50], [45, 48], [45, 49], [45, 50]]"
explorer_1,44,48,clear,0,17,,0,,0,,[],,,,[]
explorer_1,43,50,clear,1,24,,0,,0,,[],,,,"[[42, 49], [42, 50], [42, 51], [43, 49], [43, 51], [44, 49], [44, 50], [44, 51]]"
explorer_1,43,49,clear,0,22,,0,,0,,[],,,,[]
explorer_1,43,48,clear,0,29,,0,,0,,[],,,,[]
explorer_1,43,51,clear,1,38,,0,,0,,[],,,,"[[42, 50], [42, 51], [42, 52], [43, 50], [43, 52], [44, 50], [44, 51], [44, 52]]"
explorer_1,43,52,clear,0,40,,0,,0,,[],,,,[]
explorer_1,42,51,clear,1,38,,0,,0,,[],,,,"[[41, 50], [41, 51], [41, 52], [42, 50], [42, 52], [43, 50], [43, 51], [43, 52]]"
explorer_1,42,50,clear,1,27,,0,,0,,[],,,,"[[41, 49], [41, 50], [41, 51], [42, 49], [42, 51], [43, 49], [43, 50], [43, 51]]"
explorer_1,42,49,clear,0,28,,0,,0,,[],,,,[]
explorer_1,42,52,clear,1,40,,0,,0,,[],,,,"[[41, 51], [41, 52], [41, 53], [42, 51], [42, 53], [43, 51], [43, 52], [43, 53]]"
explorer_1,41,51,clear,1,64,,0,,0,,[],,,,"[[40, 50], [40, 51], [40, 52], [41, 50], [41, 52], [42, 50], [42, 51], [42, 52]]"
explorer_1,41,50,clear,1,64,,0,,0,,[],,,,"[[40, 49], [40, 50], [40, 51], [41, 49], [41, 51], [42, 49], [42, 50], [42, 51]]"
explorer_1,41,49,clear,1,64,,0,,0,,[],,,,"[[40, 48], [40, 49], [40, 50], [41, 48], [41, 50], [42, 48], [42, 49], [42, 50]]"
explorer_1,41,52,clear,1,40,,0,,0,,[],,,,"[[40, 51], [40, 52], [40, 53], [41, 51], [41, 53], [42, 51], [42, 52], [42, 53]]"
explorer_1,40,52,clear,1,64,,0,,0,,[],,,,"[[39, 51], [39, 52], [39, 53], [40, 51], [40, 53], [41, 51], [41, 52], [41, 53]]"
explorer_1,40,51,clear,1,64,,0,,0,,[],,,,"[[39, 50], [39, 51], [39, 52], [40, 50], [40, 52], [41, 50], [41, 51], [41, 52]]"
explorer_1,40,50,clear,1,64,,0,,0,,[],,,,"[[39, 49], [39, 50], [39, 51], [40, 49], [40, 51], [41, 49], [41, 50], [41, 51]]"
explorer_1,40,49,clear,1,64,,0,,0,,[],,,,"[[39, 48], [39, 49], [39, 50], [40, 48], [40, 50], [41, 48], [41, 49], [41, 50]]"
explorer_1,40,48,clear,1,33,,0,,0,,[],,,,"[[39, 47], [39, 48], [39, 49], [40, 47], [40, 49], [41, 47], [41, 48], [41, 49]]"
explorer_1,41,48,clear,1,31,,0,,0,,[],,,,"[[40, 47], [40, 48], [40, 49], [41, 47], [41, 49], [42, 47], [42, 48], [42, 49]]"
explorer_1,39,50,clear,1,74,,0,,0,,[],,,,"[[38, 49], [38, 50], [38, 51], [39, 49], [39, 51], [40, 49], [40, 50], [40, 51]]"
explorer_1,39,49,clear,1,74,,0,,0,,[],,,,"[[38, 48], [38, 49], [38, 50], [39, 48], [39, 50], [40, 48], [40, 49], [40, 50]]"
explorer_1,39,48,clear,1,73,,0,,0,,[],,,,"[[38, 47], [38, 48], [38, 49], [39, 47], [39, 49], [40, 47], [40, 48], [40, 49]]"
explorer_1,42,48,clear,0,30,,0,,0,,[],,,,[]
explorer_1,41,47,clear,1,31,,0,,0,,[],,,,"[[40, 46], [40, 47], [40, 48], [41, 46], [41, 48], [42, 46], [42, 47], [42, 48]]"
explorer_1,42,47,clear,1,30,,0,,0,,[],,,,"[[41, 46], [41, 47], [41, 48], [42, 46], [42, 48], [43, 46], [43, 47], [43, 48]]"
explorer_1,40,47,clear,0,32,,0,,0,,[],,,,[]
explorer_1,42,46,clear,0,30,,0,,0,,[],,,,[]
explorer_1,43,46,clear,0,29,,0,,0,,[],,,,[]
explorer_1,43,47,clear,0,29,,0,,0,,[],,,,[]
explorer_1,41,46,clear,0,30,,0,,0,,[],,,,[]
explorer_1,40,46,clear,0,30,,0,,0,,[],,,,[]
explorer_1,39,47,clear,0,32,,0,,0,,[],,,,[]
explorer_1,38,49,clear,1,75,,1,184,1,73,"[185.0, 25.0, 59.0, 13.0, 120.0, 96.0, 36.53428690366135, 1.0, 0.0, 1.0, 0.0, 15.0, 0.0]",,,,"[[37, 48], [37, 49], [37, 50], [38, 48], [38, 50], [39, 48], [39, 49], [39, 50]]"
explorer_1,38,48,clear,0,73,,0,,0,,[],,,,[]
explorer_1,38,47,clear,0,32,,0,,0,,[],,,,[]
explorer_1,38,50,clear,1,76,,0,,0,,[],,,,"[[37, 49], [37, 50], [37, 51], [38, 49], [38, 51], [39, 49], [39, 50], [39, 51]]"
explorer_1,39,51,clear,1,74,,1,187,1,64,"[188.0, 60.0, 138.0, 41.0, 83.0, 77.0, 34.99053259493453, 0.0, 3.0, 1.0, 2.0, 11.0, 2.0]",,,,"[[38, 50], [38, 51], [38, 52], [39, 50], [39, 52], [40, 50], [40, 51], [40, 52]]"
explorer_1,38,51,clear,1,76,,1,185,1,65,"[186.0, 30.0, 0.0, 0.0, 0.0, 65.0, 27.40125363466532, 0.0, 3.0, 0.0, 3.0, 5.0, 3.0]",,,,"[[37, 50], [37, 51], [37, 52], [38, 50], [38, 52], [39, 50], [39, 51], [39, 52]]"
explorer_1,39,52,clear,0,65,,0,,0,,[],,,,[]
explorer_1,41,53,clear,1,53,,0,,0,,[],,,,"[[40, 52], [40, 53], [40, 54], [41, 52], [41, 54], [42, 52], [42, 53], [42, 54]]"
explorer_1,40,53,clear,0,53,,0,,0,,[],,,,[]
explorer_1,39,53,clear,0,62,,0,,0,,[],,,,[]
explorer_1,42,53,clear,1,42,,0,,0,,[],,,,"[[41, 52], [41, 53], [41, 54], [42, 52], [42, 54], [43, 52], [43, 53], [43, 54]]"
explorer_1,43,53,clear,0,42,,0,,0,,[],,,,[]
explorer_1,42,54,clear,1,44,,0,,0,,[],,,,"[[41, 53], [41, 54], [41, 55], [42, 53], [42, 55], [43, 53], [43, 54], [43, 55]]"
explorer_1,41,54,clear,0,53,,0,,0,,[],,,,[]
explorer_1,40,54,clear,1,54,,0,,0,,[],,,,"[[39, 53], [39, 54], [39, 55], [40, 53], [40, 55], [41, 53], [41, 54], [41, 55]]"
explorer_1,43,54,clear,1,43,,0,,0,,[],,,,"[[42, 53], [42, 54], [42, 55], [43, 53], [43, 55], [44, 53], [44, 54], [44, 55]]"
explorer_1,44,53,clear,0,41,,0,,0,,[],,,,[]
explorer_1,44,54,clear,0,41,,0,,0,,[],,,,[]
explorer_1,44,55,clear,0,41,,0,,0,,[],,,,[]
explorer_1,43,55,clear,0,46,,0,,0,,[],,,,[]
explorer_1,42,55,clear,1,46,,0,,0,,[],,,,"[[41, 54], [41, 55], [41, 56], [42, 54], [42, 56], [43, 54], [43, 55], [43, 56]]"
explorer_1,41,55,clear,1,53,,0,,0,,[],,,,"[[40, 54], [40, 55], [40, 56], [41, 54], [41, 56], [42, 54], [42, 55], [42, 56]]"
explorer_1,43,56,clear,0,47,,0,,0,,[],,,,[]
explorer_1,42,56,clear,1,49,,0,,0,,[],,,,"[[41, 55], [41, 56], [41, 57], [42, 55], [42, 57], [43, 55], [43, 56], [43, 57]]"
explorer_1,41,56,clear,1,51,,0,,0,,[],,,,"[[40, 55], [40, 56], [40, 57], [41, 55], [41, 57], [42, 55], [42, 56], [42, 57]]"
explorer_1,40,56,clear,1,54,,0,,0,,[],,,,"[[39, 55], [39, 56], [39, 57], [40, 55], [40, 57], [41, 55], [41, 56], [41, 57]]"
explorer_1,40,55,clear,1,54,,0,,0,,[],,,,"[[39, 54], [39, 55], [39, 56], [40, 54], [40, 56], [41, 54], [41, 55], [41, 56]]"
explorer_1,42,57,clear,1,49,,0,,0,,[],,,,"[[41, 56], [41, 57], [41, 58], [42, 56], [42, 58], [43, 56], [43, 57], [43, 58]]"
explorer_1,41,57,clear,1,100,,0,,0,,[],,,,"[[40, 56], [40, 57], [40, 58], [41, 56], [41, 58], [42, 56], [42, 57], [42, 58]]"
explorer_1,40,57,clear,0,100,,0,,0,,[],,,,[]
explorer_1,43,57,clear,0,47,,0,,0,,[],,,,[]
explorer_1,43,58,clear,0,47,,0,,0,,[],,,,[]
explorer_1,42,58,clear,0,99,,0,,0,,[],,,,[]
