x,y,status,floor_factor,victim_present
71,29,clear,,0
90,42,clear,,1
29,32,clear,,0
48,45,clear,,0
40,41,clear,,0
6,48,clear,,0
92,88,wall,,0
50,91,clear,,0
75,35,clear,,0
41,42,clear,,0
33,38,clear,,0
52,51,clear,,0
93,52,clear,,0
25,34,clear,,0
44,47,clear,,0
85,48,clear,,0
10,54,clear,,0
2,50,clear,,0
67,36,clear,,0
86,49,clear,,0
59,32,wall,,0
78,45,clear,,0
89,54,clear,,0
36,48,clear,,0
55,61,clear,,0
47,57,clear,,0
5,60,clear,,0
79,46,clear,,1
30,4,clear,,0
71,42,clear,,0
63,38,clear,,0
82,51,clear,,0
48,58,clear,,0
40,54,clear,,0
6,61,clear,,0
72,6,clear,,0
64,2,clear,,0
22,5,clear,,0
14,1,clear,,0
74,52,clear,,0
93,65,clear,,0
66,48,clear,,0
85,61,clear,,0
32,55,clear,,0
65,3,clear,,0
35,60,clear,,0
68,8,clear,,0
15,2,clear,,0
1,67,clear,,0
26,11,clear,,0
67,49,clear,,0
59,45,clear,,0
18,7,clear,,0
78,58,clear,,0
70,54,clear,,0
36,61,clear,,0
9,44,clear,,0
60,9,clear,,0
5,73,clear,,0
11,4,clear,,0
52,5,clear,,0
44,1,clear,,0
10,8,clear,,0
62,55,clear,,0
81,68,clear,,0
54,51,clear,,0
53,6,clear,,0
39,71,clear,,0
45,2,clear,,0
31,67,clear,,0
3,5,clear,,0
14,14,clear,,0
13,55,clear,,0
32,68,clear,,0
79,0,clear,,0
43,77,clear,,0
16,60,clear,,0
90,9,clear,,0
35,73,clear,,0
82,5,clear,,0
1,80,clear,,0
7,11,clear,,0
48,12,clear,,0
40,8,clear,,0
92,55,clear,,0
6,15,wall,,0
17,61,clear,,0
9,57,clear,,0
77,75,clear,,0
50,58,clear,,0
83,6,clear,,0
75,2,clear,,0
80,80,clear,,0
41,9,clear,,0
27,74,wall,,0
33,5,clear,,0
93,19,clear,,0
25,1,clear,,0
44,14,clear,,0
30,79,clear,,0
10,21,clear,,0
2,17,clear,,0
73,77,clear,,0
34,6,clear,,0
39,84,clear,,0
12,67,clear,,0
67,3,clear,,0
31,80,clear,,0
4,63,clear,,0
37,11,clear,,0
23,76,clear,,0
86,16,clear,,0
70,8,clear,,0
3,18,clear,,0
89,21,clear,,0
55,28,wall,,0
88,62,clear,,0
47,24,clear,,0
13,68,clear,,0
71,9,clear,,0
16,73,clear,,0
90,22,wall,,0
63,5,clear,,0
76,87,clear,,0
29,12,clear,,0
48,25,clear,,0
21,8,clear,,0
40,21,clear,,0
26,86,clear,,0
92,68,clear,,0
42,67,clear,,0
8,74,clear,,0
27,87,clear,,0
0,70,clear,,0
19,83,clear,,0
93,32,clear,,0
11,79,clear,,0
85,28,wall,,0
30,92,clear,,0
32,22,clear,,0
51,35,clear,,0
84,69,clear,,0
35,27,clear,,0
87,74,clear,,0
12,80,clear,,0
86,29,clear,,0
4,76,clear,,1
23,89,clear,,0
56,86,clear,,0
89,34,clear,,0
17,15,clear,,0
9,11,clear,,0
28,24,clear,,0
47,37,clear,,0
88,75,clear,,0
5,40,clear,,0
65,91,clear,,0
38,74,clear,,0
57,87,clear,,0
29,25,clear,,0
73,31,clear,,0
39,38,clear,,0
31,34,clear,,0
91,85,clear,,0
42,80,clear,,0
83,81,clear,,0
74,32,clear,,0
52,93,clear,,0
13,22,clear,,0
85,41,wall,,0
32,35,clear,,0
51,48,clear,,0
24,31,clear,,0
43,44,clear,,0
16,27,clear,,0
84,82,clear,,0
1,47,clear,,0
87,87,clear,,0
34,81,clear,,0
45,90,clear,,0
92,22,clear,,0
37,86,clear,,0
77,42,clear,,0
9,24,clear,,0
28,37,clear,,0
69,38,clear,,0
61,34,wall,,0
80,47,clear,,0
79,88,wall,,0
62,35,wall,,0
81,48,clear,,0
54,31,wall,,0
73,44,clear,,0
20,38,clear,,0
39,51,clear,,1
75,90,clear,,0
88,29,clear,,0
33,93,clear,,0
25,89,clear,,1
65,45,clear,,0
57,41,clear,,0
76,54,clear,,0
68,50,clear,,0
92,35,clear,,0
58,42,clear,,0
77,55,clear,,0
50,38,clear,,0
69,51,clear,,0
42,34,clear,,0
61,47,clear,,0
80,60,clear,,0
8,41,clear,,0
30,59,clear,,0
63,93,clear,,0
51,2,clear,,0
87,41,clear,,0
53,48,clear,,0
4,43,clear,,0
72,61,clear,,0
64,57,clear,,0
56,53,clear,,0
89,1,clear,,0
55,8,clear,,0
88,42,clear,,0
47,4,clear,,0
46,45,clear,,0
5,7,clear,,0
65,58,clear,,0
38,41,clear,,0
49,50,clear,,0
15,57,clear,,0
7,53,clear,,0
81,2,clear,,0
18,62,clear,,0
39,5,clear,,0
31,1,clear,,0
50,51,clear,,0
91,52,clear,,0
42,47,clear,,0
83,48,clear,,0
8,54,clear,,0
0,50,clear,,0
19,63,clear,,0
11,59,clear,,0
52,60,wall,,0
85,8,clear,,0
32,2,clear,,0
84,49,wall,,0
43,11,clear,,0
35,7,clear,,0
87,54,clear,,0
1,14,clear,,0
53,61,clear,,0
72,74,clear,,0
45,57,clear,,0
37,53,clear,,0
3,60,clear,,0
77,9,clear,,0
28,4,clear,,0
69,5,clear,,0
14,69,clear,,0
61,1,clear,,1
46,58,clear,,0
38,54,clear,,0
79,55,clear,,0
90,64,clear,,0
82,60,clear,,0
15,70,clear,,1
62,2,clear,,0
7,66,clear,,0
18,75,clear,,0
20,5,clear,,0
39,18,clear,,0
12,1,clear,,0
91,65,clear,,0
23,10,clear,,0
83,61,clear,,0
75,57,clear,,0
41,64,clear,,0
33,60,clear,,0
13,2,clear,,0
44,69,clear,,0
24,11,clear,,0
10,76,clear,,0
16,7,clear,,0
57,8,clear,,0
2,72,clear,,0
34,61,clear,,0
45,70,clear,,0
86,71,clear,,0
92,2,clear,,0
37,66,clear,,0
78,67,clear,,0
58,9,clear,,0
3,73,clear,,0
89,76,wall,,0
50,5,clear,,0
42,1,clear,,0
8,8,clear,,0
27,21,clear,,1
0,4,clear,,0
79,68,clear,,0
11,13,clear,,0
30,26,clear,,0
63,60,clear,,0
82,73,clear,,0
84,3,clear,,0
29,67,clear,,0
40,76,clear,,0
87,8,clear,,0
6,83,clear,,0
12,14,clear,,0
4,10,clear,,0
23,23,clear,,0
41,77,clear,,0
88,9,clear,,0
33,73,clear,,0
74,74,clear,,0
44,82,clear,,0
85,83,clear,,0
46,12,clear,,0
38,8,clear,,0
51,90,clear,,0
43,86,clear,,0
76,34,clear,,0
49,17,clear,,0
15,24,clear,,0
7,20,clear,,1
26,33,clear,,0
86,84,clear,,0
18,29,clear,,0
78,80,clear,,0
70,76,clear,,0
89,89,clear,,0
17,70,wall,,0
50,18,wall,,0
36,83,clear,,0
91,19,clear,,0
42,14,clear,,0
28,79,clear,,0
47,92,clear,,0
8,21,clear,,0
0,17,clear,,0
19,30,clear,,0
11,26,clear,,0
71,77,clear,,0
29,80,clear,,0
21,76,clear,,0
81,90,clear,,0
87,21,wall,,0
73,86,clear,,0
39,93,clear,,0
45,24,clear,,0
72,41,clear,,0
64,37,wall,,0
56,33,clear,,0
3,27,wall,,0
14,36,clear,,0
74,87,clear,,0
13,77,clear,,0
46,25,clear,,0
32,90,clear,,0
24,86,clear,,0
49,30,clear,,0
90,31,clear,,0
15,37,clear,,0
70,89,clear,,0
17,83,clear,,0
91,32,clear,,0
28,92,clear,,0
69,93,clear,,0
60,44,clear,,0
33,27,clear,,0
25,23,clear,,0
44,36,clear,,0
2,39,clear,,0
62,90,clear,,0
54,86,clear,,0
34,28,clear,,0
45,37,clear,,0
86,38,clear,,0
37,33,clear,,0
3,40,clear,,0
89,43,clear,,0
55,50,clear,,0
79,35,wall,,0
71,31,clear,,0
90,44,clear,,0
29,34,clear,,0
48,47,clear,,0
6,50,clear,,0
50,93,clear,,0
42,89,clear,,0
75,37,clear,,0
41,44,clear,,0
74,41,clear,,0
93,54,clear,,0
25,36,clear,,0
44,49,clear,,0
85,50,clear,,0
10,56,clear,,0
51,57,clear,,0
2,52,clear,,0
76,1,clear,,0
26,0,clear,,1
86,51,clear,,0
59,34,clear,,0
78,47,clear,,0
70,43,wall,,0
89,56,clear,,0
36,50,clear,,0
47,59,clear,,0
27,1,clear,,0
5,62,clear,,0
71,44,clear,,0
30,6,clear,,0
63,40,clear,,0
40,56,clear,,0
81,57,clear,,0
6,63,clear,,0
72,8,clear,,0
64,4,clear,,0
56,0,clear,,0
22,7,clear,,0
14,3,clear,,0
74,54,clear,,0
93,67,clear,,0
66,50,clear,,1
85,63,clear,,0
32,57,clear,,0
57,1,clear,,0
35,62,clear,,0
15,4,clear,,0
1,69,clear,,0
67,51,clear,,0
59,47,clear,,0
18,9,clear,,0
70,56,clear,,0
36,63,clear,,0
9,46,clear,,0
77,64,clear,,0
47,72,clear,,0
80,69,clear,,0
5,75,clear,,0
52,7,clear,,1
44,3,clear,,0
10,10,clear,,0
2,6,clear,,0
62,57,clear,,0
81,70,clear,,0
54,53,clear,,0
87,1,clear,,0
20,60,clear,,0
