x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear,tri_color
71,29,clear,0,1501,,0,,0,[],,,,[],
90,42,clear,1,595,,1,302,1,"[303.0, 36.0, 151.0, 32.0, 67.0, 79.0, 35.393822888192844, 0.0, 3.0, 1.0, 0.0, 9.0, 2.0]",,,,[],black
48,45,clear,1,42.333333333333336,,0,,0,[],,,,[],
6,48,clear,0,798,,0,,0,[],,,,[],
92,88,wall,0,1401,,0,,0,[],,,,[],
50,91,clear,0,1112,,0,,0,[],,,,[],
41,42,clear,0,36,,0,,0,[],,,,[],
25,34,clear,1,1408,,0,,0,[],,,,[],
44,47,clear,1,71,,0,,0,[],,,,[],
85,48,clear,0,1053,,0,,0,[],,,,[],
2,50,clear,1,804,,0,,0,[],,,,[],
59,32,wall,0,1497,,0,,0,[],,,,[],
78,45,clear,1,217,,0,,0,[],,,,[],
36,48,clear,0,72,,0,,0,[],,,,[],
30,4,clear,1,1021,,0,,0,[],,,,[],
71,42,clear,0,147,,0,,0,[],,,,[],
48,58,clear,0,38,,0,,0,[],,,,[],
6,61,clear,1,698,,0,,0,[],,,,[],
64,2,clear,1,987.5,,0,,0,[],,,,[],
22,5,clear,1,1139,,0,,0,[],,,,[],
66,48,clear,0,289,,0,,0,[],,,,[],
85,61,clear,1,995,,0,,0,[],,,,[],
15,2,clear,0,1163,,0,,0,[],,,,[],
1,67,clear,1,876,,0,,0,[],,,,[],
18,7,clear,1,1139,,0,,0,[],,,,[],
59,45,clear,0,100,,0,,0,[],,,,[],
78,58,clear,1,681,,0,,0,[],,,,[],
36,61,clear,1,190,,0,,0,[],,,,[],
11,4,clear,0,1167,,0,,0,[],,,,[],
52,5,clear,1,1104.5,,0,,0,[],,,,[],
10,8,clear,1,1225,,0,,0,[],,,,[],
54,51,clear,1,85,,0,,0,[],,,,[],
45,2,clear,1,1150.5,,0,,0,[],,,,[],
31,67,clear,1,427,,0,,0,[],,,,[],
3,5,clear,1,1184,,0,,0,[],,,,[],
79,0,clear,1,926,,0,,0,[],,,,[],
43,77,clear,0,373,,0,,0,[],,,,[],
82,5,clear,1,887.5,,0,,0,[],,,,[],
1,80,clear,0,521,,0,,0,[],,,,[],
40,8,clear,1,943,,0,,0,[],,,,[],
17,61,clear,1,649,,0,,0,[],,,,[],
77,75,clear,1,866,,0,,0,[],,,,[],
75,2,clear,1,912,,0,,0,[],,,,[],
80,80,clear,1,495,,0,,0,[],,,,[],
33,5,clear,1,1008,,0,,0,[],,,,[],
93,19,clear,1,365,,0,,0,[],,,,[],
10,21,clear,1,1341,,0,,0,[],,,,[],
73,77,clear,0,1283,,0,,0,[],,,,[],
67,3,clear,1,932.5,,0,,0,[],,,,[],
12,67,clear,0,584,,0,,0,[],,,,[],
86,16,clear,1,995,,0,,0,[],,,,[],
31,80,clear,1,454,,0,,0,[],,,,[],
70,8,clear,1,931.5,,0,,0,[],,,,[],
3,18,clear,1,1289,,0,,0,[],,,,[],
89,21,clear,1,707.5,,0,,0,[],,,,[],
88,62,clear,1,1041,,0,,0,[],,,,[],
47,24,clear,1,778,,0,,0,[],,,,[],
63,5,clear,1,997,,0,,0,[],,,,[],
21,8,clear,1,1139,,0,,0,[],,,,[],
40,21,clear,0,791,,0,,0,[],,,,[],
26,86,clear,1,1022,,0,,0,[],,,,[],
42,67,clear,0,160,,0,,0,[],,,,[],
0,70,clear,1,878,,0,,0,[],,,,[],
19,83,clear,1,943,,0,,0,[],,,,[],
93,32,clear,1,678,,0,,0,[],,,,[],
32,22,clear,1,1462,,0,,0,[],,,,[],
51,35,clear,1,176,,0,,0,[],,,,[],
35,27,clear,0,1485,,0,,0,[],,,,[],
12,80,clear,0,485,,0,,0,[],,,,[],
86,29,clear,1,1007,,0,,0,[],,,,[],
56,86,clear,0,1130,,0,,0,[],,,,[],
89,34,clear,1,642,,0,,0,[],,,,[],
9,11,clear,1,1243,,0,,0,[],,,,[],
28,24,clear,0,1470,,0,,0,[],,,,[],
47,37,clear,0,122,,0,,0,[],,,,[],
88,75,clear,0,465,,0,,0,[],,,,[],
5,40,clear,1,765,,0,,0,[],,,,[],
65,91,clear,0,1187,,0,,0,[],,,,[],
39,38,clear,1,762.5,,1,91,1,"[92.0, 51.0, 120.0, 22.0, 106.0, 96.0, 38.09735553631184, 0.0, 2.0, 0.0, 0.0, 13.0, 0.0]",,,,[],black
42,80,clear,0,376,,0,,0,[],,,,[],
83,81,clear,1,502,,0,,0,[],,,,[],
74,32,clear,1,1483,,0,,0,[],,,,[],
13,22,clear,0,1344,,0,,0,[],,,,[],
51,48,clear,1,75.5,,0,,0,[],,,,[],
16,27,clear,0,1347,,0,,0,[],,,,[],
34,81,clear,1,389,,0,,0,[],,,,[],
92,22,clear,1,694,,0,,0,[],,,,[],
37,86,clear,0,1030,,0,,0,[],,,,[],
9,24,clear,1,1339,,0,,0,[],,,,[],
69,38,clear,0,1493,,0,,0,[],,,,[],
62,35,wall,0,1449,,0,,0,[],,,,[],
81,48,clear,1,625,,0,,0,[],,,,[],
20,38,clear,0,1380,,0,,0,[],,,,[],
39,51,clear,1,74,,1,187,1,"[188.0, 60.0, 138.0, 41.0, 83.0, 77.0, 34.99053259493453, 0.0, 3.0, 1.0, 2.0, 11.0, 2.0]",,,,[],black
25,89,clear,1,995,,1,161,1,"[162.0, 39.0, 150.0, 34.0, 70.0, 76.0, 33.80931903971018, 0.0, 3.0, 1.0, 0.0, 10.0, 2.0]",,,,[],black
57,41,clear,1,110,,0,,0,[],,,,[],
76,54,clear,1,825,,0,,0,[],,,,[],
92,35,clear,1,621.5,,0,,0,[],,,,[],
50,38,clear,1,169,,0,,0,[],,,,[],
69,51,clear,1,346,,0,,0,[],,,,[],
8,41,clear,1,750,,0,,0,[],,,,[],
30,59,clear,1,216,,0,,0,[],,,,[],
87,41,clear,1,619.5,,0,,0,[],,,,[],
4,43,clear,1,769,,0,,0,[],,,,[],
64,57,clear,1,373,,0,,0,[],,,,[],
55,8,clear,1,1118.5,,0,,0,[],,,,[],
38,41,clear,0,29,,0,,0,[],,,,[],
15,57,clear,1,659,,0,,0,[],,,,[],
18,62,clear,1,625,,0,,0,[],,,,[],
31,1,clear,1,1022,,0,,0,[],,,,[],
50,51,clear,1,76.5,,0,,0,[],,,,[],
91,52,clear,1,1101,,0,,0,[],,,,[],
8,54,clear,0,713,,0,,0,[],,,,[],
11,59,clear,0,671,,0,,0,[],,,,[],
52,60,wall,0,1497,,0,,0,[],,,,[],
85,8,clear,1,799.5,,0,,0,[],,,,[],
84,49,wall,0,1452,,0,,0,[],,,,[],
43,11,clear,1,724,,0,,0,[],,,,[],
87,54,clear,1,1083.5,,0,,0,[],,,,[],
1,14,clear,0,1212,,0,,0,[],,,,[],
3,60,clear,0,817,,0,,0,[],,,,[],
77,9,clear,1,931,,0,,0,[],,,,[],
61,1,clear,1,1005.5,,1,236,1,"[237.0, 38.0, 105.0, 23.0, 91.0, 89.0, 36.89311972512371, 1.0, 2.0, 0.0, 0.0, 13.0, 1.0]",,,,[],black
38,54,clear,0,61,,0,,0,[],,,,[],
79,55,clear,1,1050,,0,,0,[],,,,[],
82,60,clear,1,995.5,,0,,0,[],,,,[],
15,70,clear,1,580,,1,137,1,"[138.0, 37.0, 72.0, 14.0, 114.0, 97.0, 37.200430200422964, 1.0, 0.0, 1.0, 0.0, 15.0, 0.0]",,,,[],black
18,75,clear,1,916,,0,,0,[],,,,[],
12,1,clear,1,1166,,0,,0,[],,,,[],
91,65,clear,1,739,,0,,0,[],,,,[],
75,57,clear,1,390,,0,,0,[],,,,[],
33,60,clear,1,217,,0,,0,[],,,,[],
24,11,clear,1,1084,,0,,0,[],,,,[],
10,76,clear,1,899,,0,,0,[],,,,[],
45,70,clear,0,152,,0,,0,[],,,,[],
86,71,clear,0,633,,0,,0,[],,,,[],
58,9,clear,0,1105,,0,,0,[],,,,[],
3,73,clear,1,865,,0,,0,[],,,,[],
89,76,wall,0,1401,,0,,0,[],,,,[],
42,1,clear,1,1385,,0,,0,[],,,,[],
0,4,clear,0,1179,,0,,0,[],,,,[],
79,68,clear,1,859,,0,,0,[],,,,[],
63,60,clear,0,322,,0,,0,[],,,,[],
82,73,clear,1,880,,0,,0,[],,,,[],
40,76,clear,1,367,,0,,0,[],,,,[],
12,14,clear,1,1254,,0,,0,[],,,,[],
88,9,clear,1,813,,0,,0,[],,,,[],
33,73,clear,1,429,,0,,0,[],,,,[],
74,74,clear,1,1273,,0,,0,[],,,,[],
46,12,clear,1,1116,,0,,0,[],,,,[],
51,90,clear,0,1111,,0,,0,[],,,,[],
49,17,clear,1,821,,0,,0,[],,,,[],
7,20,clear,0,1319,,0,,0,[],,,,[],
26,33,clear,1,1408,,0,,0,[],,,,[],
86,84,clear,1,572,,0,,0,[],,,,[],
70,76,clear,1,1279,,0,,0,[],,,,[],
89,89,clear,1,533,,0,,0,[],,,,[],
42,14,clear,0,739,,0,,0,[],,,,[],
28,79,clear,1,454,,0,,0,[],,,,[],
47,92,clear,1,1079,,0,,0,[],,,,[],
19,30,clear,1,1371,,0,,0,[],,,,[],
21,76,clear,0,927,,0,,0,[],,,,[],
81,90,clear,0,558,,0,,0,[],,,,[],
39,93,clear,1,1048,,0,,0,[],,,,[],
72,41,clear,0,149,,0,,0,[],,,,[],
56,33,clear,1,231,,0,,0,[],,,,[],
74,87,clear,1,1225,,0,,0,[],,,,[],
13,77,clear,1,906,,0,,0,[],,,,[],
46,25,clear,1,1091,,0,,0,[],,,,[],
32,90,clear,0,970,,0,,0,[],,,,[],
49,30,clear,0,187,,0,,0,[],,,,[],
90,31,clear,0,649,,0,,0,[],,,,[],
70,89,clear,1,1222,,0,,0,[],,,,[],
28,92,clear,1,985,,0,,0,[],,,,[],
69,93,clear,1,1162,,0,,0,[],,,,[],
60,44,clear,0,104,,0,,0,[],,,,[],
25,23,clear,1,1471,,0,,0,[],,,,[],
44,36,clear,0,140,,0,,0,[],,,,[],
2,39,clear,0,759,,0,,0,[],,,,[],
62,90,clear,0,1146,,0,,0,[],,,,[],
34,28,clear,1,1486,,0,,0,[],,,,[],
37,33,clear,0,1492,,0,,0,[],,,,[],
55,50,clear,1,87,,0,,0,[],,,,[],
71,31,clear,0,1503,,0,,0,[],,,,[],
90,44,clear,1,859.6666666666666,,0,,0,[],,,,[],
48,47,clear,1,45.666666666666664,,0,,0,[],,,,[],
6,50,clear,1,800,,0,,0,[],,,,[],
50,93,clear,0,1086,,0,,0,[],,,,[],
41,44,clear,0,33,,0,,0,[],,,,[],
25,36,clear,0,1403,,0,,0,[],,,,[],
44,49,clear,1,31,,0,,0,[],,,,[],
85,50,clear,1,1053.5,,0,,0,[],,,,[],
2,52,clear,1,806,,0,,0,[],,,,[],
76,1,clear,1,930.5,,0,,0,[],,,,[],
59,34,clear,1,180,,0,,0,[],,,,[],
78,47,clear,1,623.3333333333334,,0,,0,[],,,,[],
36,50,clear,0,76,,0,,0,[],,,,[],
27,1,clear,1,1028,,0,,0,[],,,,[],
71,44,clear,1,659,,0,,0,[],,,,[],
30,6,clear,1,1017,,0,,0,[],,,,[],
6,63,clear,1,682,,0,,0,[],,,,[],
64,4,clear,1,997,,0,,0,[],,,,[],
22,7,clear,1,1139,,0,,0,[],,,,[],
66,50,clear,1,343,,1,394,1,"[395.0, 31.0, 117.0, 20.0, 95.0, 89.0, 37.48341637856307, 1.0, 1.0, 0.0, 0.0, 13.0, 0.0]",,,,[],black
85,63,clear,1,995,,0,,0,[],,,,[],
57,1,clear,1,893,,0,,0,[],,,,[],
15,4,clear,1,1163,,0,,0,[],,,,[],
1,69,clear,1,878,,0,,0,[],,,,[],
18,9,clear,1,1139,,0,,0,[],,,,[],
59,47,clear,0,100,,0,,0,[],,,,[],
36,63,clear,1,189,,0,,0,[],,,,[],
77,64,clear,0,402,,0,,0,[],,,,[],
80,69,clear,0,878,,0,,0,[],,,,[],
52,7,clear,1,887,,1,213,1,"[214.0, 29.0, 2.0, 0.0, 5.0, 24.0, 32.14613532516801, 0.0, 3.0, 0.0, 0.0, 4.0, 3.0]",,,,[],black
10,10,clear,0,1233,,0,,0,[],,,,[],
54,53,clear,0,83,,0,,0,[],,,,[],
87,1,clear,1,798,,0,,0,[],,,,[],
45,4,clear,1,1149,,0,,0,[],,,,[],
86,5,clear,1,858,,0,,0,[],,,,[],
31,69,clear,1,427,,0,,0,[],,,,[],
3,7,clear,0,1203,,0,,0,[],,,,[],
89,10,clear,1,804.5,,0,,0,[],,,,[],
22,20,clear,0,1425,,0,,0,[],,,,[],
79,2,clear,1,927,,0,,0,[],,,,[],
43,79,clear,0,374,,0,,0,[],,,,[],
82,7,clear,1,882.5,,0,,0,[],,,,[],
